,Assists,Clean_Sheet,xA,xG,xGC,Goals_Conceded,Goals_Scored,Minutes,Own_Goals,Penalites_Missed,Penalties_Saved,Red_Cards,Saves,Points,Yellow_Cards,Firstname,Lastname,Fixture_Rating,Delta_Goals,Delta_Assists,Delta_Goals_Conceded,Next_Points,Running_Assists,Running_Clean_Sheet,Running_xA,Running_xG,Running_xGC,Running_Goals_Conceded,Running_Goals_Scored,Running_Minutes,Running_Own_Goals,Running_Penalites_Missed,Running_Penalties_Saved,Running_Red_Cards,Running_Saves,Running_Points,Running_Yellow_Cards,Running_Fixture_Rating,Running_Delta_Goals,Running_Delta_Assists,Running_Delta_Goals_Conceded,Running_Next_Points
28,0,1,0.0,0.0,0.95,0,0,90,0,0,0,0,1,5,1,David,Raya,5,0.0,0.0,0.95,6.0,0.0,0.5,0.0,0.0,0.33499999999999996,0.25,0.0,67.5,0.0,0.0,0.0,0.0,0.5,3.25,0.25,3.25,0.0,0.0,0.08499999999999999,4.25
29,0,1,0.0,0.0,0.27,0,0,90,0,0,0,0,1,6,0,David,Raya,2,0.0,0.0,0.27,6.0,0.0,0.75,0.0,0.0,0.36250000000000004,0.0,0.0,67.5,0.0,0.0,0.0,0.0,0.5,4.25,0.25,2.75,0.0,0.0,0.3625,4.25
30,0,1,0.0,0.0,0.53,0,0,90,0,0,0,0,2,6,0,David,Raya,3,0.0,0.0,0.53,1.0,0.0,0.75,0.0,0.0,0.4375,0.0,0.0,67.5,0.0,0.0,0.0,0.0,1.0,4.25,0.25,3.0,0.0,0.0,0.4375,4.5
31,0,0,0.01,0.0,1.13,2,0,90,0,0,0,0,0,1,0,David,Raya,5,0.0,-0.01,-0.8700000000000001,10.0,0.0,0.75,0.0025,0.0,0.72,0.5,0.0,90.0,0.0,0.0,0.0,0.0,1.0,4.5,0.25,3.75,0.0,-0.0025,0.21999999999999997,5.75
32,0,1,0.01,0.0,0.14,0,0,90,0,0,0,0,3,10,0,David,Raya,3,0.0,-0.01,0.14,6.0,0.0,0.75,0.005,0.0,0.5175,0.5,0.0,90.0,0.0,0.0,0.0,0.0,1.5,5.75,0.0,3.25,0.0,-0.005,0.017499999999999988,5.75
33,0,1,0.0,0.0,1.61,0,0,90,0,0,0,0,1,6,0,David,Raya,4,0.0,0.0,1.61,1.0,0.0,0.75,0.005,0.0,0.8524999999999999,0.5,0.0,90.0,0.0,0.0,0.0,0.0,1.5,5.75,0.0,3.75,0.0,-0.005,0.35250000000000004,4.5
34,0,0,0.0,0.0,2.37,2,0,90,0,0,0,0,0,1,0,David,Raya,5,0.0,0.0,0.3700000000000001,6.0,0.0,0.5,0.005,0.0,1.3125,1.0,0.0,90.0,0.0,0.0,0.0,0.0,1.0,4.5,0.0,4.25,0.0,-0.005,0.3125,5.75
35,0,1,0.0,0.0,0.37,0,0,90,0,0,0,0,2,6,0,David,Raya,3,0.0,0.0,0.37,5.0,0.0,0.75,0.0025,0.0,1.1225,0.5,0.0,90.0,0.0,0.0,0.0,0.0,1.5,5.75,0.0,3.75,0.0,-0.0025,0.6225,4.5
36,0,1,0.0,0.0,0.64,0,0,90,0,0,0,0,2,5,1,David,Raya,4,0.0,0.0,0.64,2.0,0.0,0.75,0.0,0.0,1.2475,0.5,0.0,90.0,0.0,0.0,0.0,0.0,1.25,4.5,0.25,4.0,0.0,0.0,0.7475,3.5
37,0,0,0.0,0.0,0.5,1,0,90,0,0,0,0,1,2,0,David,Raya,3,0.0,0.0,-0.5,,0.0,0.5,0.0,0.0,0.97,0.75,0.0,90.0,0.0,0.0,0.0,0.0,1.25,3.5,0.25,3.75,0.0,0.0,0.22000000000000003,4.333333333333333
